CODIGO	FECHA	VALOR	UNIDAD_MEDIDA
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/07/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	31/07/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/08/1984 00:00:00	219,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/08/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/08/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/08/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/08/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/08/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/08/1984 00:00:00	219,74	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/08/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/08/1984 00:00:00	219,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/08/1984 00:00:00	219,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/08/1984 00:00:00	219,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/08/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/08/1984 00:00:00	219,57	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/08/1984 00:00:00	219,57	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/08/1984 00:00:00	219,57	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/08/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/08/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/08/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/08/1984 00:00:00	219,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/08/1984 00:00:00	219,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/08/1984 00:00:00	219,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/08/1984 00:00:00	219,78	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/08/1984 00:00:00	219,75	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/08/1984 00:00:00	219,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/08/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	31/08/1984 00:00:00	219,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/09/1984 00:00:00	219,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/09/1984 00:00:00	219,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/09/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/09/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/09/1984 00:00:00	219,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/09/1984 00:00:00	219,63	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/09/1984 00:00:00	219,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/09/1984 00:00:00	219,59	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/09/1984 00:00:00	219,6	msnm
